network_condition,load_level,policy,latency_mean,latency_std,cost_mean,cost_std,utilization_mean,utilization_std,violations_mean,violations_std
stable,low_load,Always Edge,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,low_load,Always Cloud,50.06091872822348,0.002650511496807551,5.0,0.0,0.08256869829190898,0.002619332118722824,0.0,0.0
stable,low_load,Greedy,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,low_load,XGBoost,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,medium_load,Always Edge,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,medium_load,Always Cloud,50.06091872822348,0.002650511496807551,5.0,0.0,0.09961971363417274,0.005022004203589157,0.0,0.0
stable,medium_load,Greedy,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,medium_load,XGBoost,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,high_load,Always Edge,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,high_load,Always Cloud,50.06091872822348,0.002650511496807551,5.0,0.0,0.1844359251297176,0.02027448068239627,0.0,0.0
stable,high_load,Greedy,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,high_load,XGBoost,5.609187282234737,0.02650511496811258,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
stable,very_high_load,Always Edge,2552.201690508334,91.97210917051868,1.0,0.0,0.9942112354255092,0.003988296229635211,0.95,0.014142135623730923
stable,very_high_load,Always Cloud,50.06091872822348,0.002650511496807551,5.0,0.0,0.4283434688760088,0.021808311293010585,0.0,0.0
stable,very_high_load,Greedy,7.319818249242751,0.26712221626553595,1.178,0.02612470095522627,0.6389747884475638,0.01893037335357902,0.0,0.0
stable,very_high_load,XGBoost,7.9209992064231,0.4461472316550753,1.193,0.03053686296920498,0.650783868791748,0.00663314407872485,0.0,0.0
moderate,low_load,Always Edge,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,low_load,Always Cloud,49.23458502186136,1.505318246403988,5.0,0.0,0.07487530223224918,0.0042132195962405515,0.02,0.0070710678118654745
moderate,low_load,Greedy,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,low_load,XGBoost,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,medium_load,Always Edge,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,medium_load,Always Cloud,49.23458502186136,1.505318246403988,5.0,0.0,0.09961971363417274,0.005022004203589157,0.02,0.0070710678118654745
moderate,medium_load,Greedy,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,medium_load,XGBoost,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,high_load,Always Edge,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,high_load,Always Cloud,49.23458502186136,1.505318246403988,5.0,0.0,0.17133580615495686,0.013297413257895288,0.02,0.0070710678118654745
moderate,high_load,Greedy,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,high_load,XGBoost,5.563278197451509,0.1657132567834079,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
moderate,very_high_load,Always Edge,2527.083152312467,71.78791918811733,1.0,0.0,0.9895538856707725,0.009287585899194704,0.942,0.021679483388678762
moderate,very_high_load,Always Cloud,49.23458502186136,1.505318246403988,5.0,0.0,0.4149583633596418,0.03936615372483578,0.02,0.0070710678118654745
moderate,very_high_load,Greedy,6.992878650660868,0.23865442002059012,1.152,0.01565247584249853,0.5945782960297601,0.01741398322103088,0.0,0.0
moderate,very_high_load,XGBoost,7.213320061267085,0.400808944632653,1.156,0.017464249196572988,0.5968783123271751,0.010370894191971873,0.0,0.0
high,low_load,Always Edge,6.687028214297632,0.6357847683491451,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
high,low_load,Always Cloud,59.46216732936556,5.639422793008332,5.0,0.0,0.07884670857971778,0.0042800744600963135,0.12,0.02449489742783178
high,low_load,Greedy,6.3808642914934826,0.6510061505215682,1.07,0.06708203932499368,0.5654381333924667,0.05937426436275939,0.0,0.0
high,low_load,XGBoost,6.551019559209758,0.8126485477060079,1.072,0.04535967372016695,0.5622597641634254,0.041037944608793696,0.0,0.0
high,medium_load,Always Edge,6.687028214297632,0.6357847683491451,1.0,0.0,0.6091872822347366,0.026505114968112246,0.0,0.0
high,medium_load,Always Cloud,59.46216732936556,5.639422793008332,5.0,0.0,0.13269894143031752,0.012836516826062074,0.12,0.02449489742783178
high,medium_load,Greedy,6.3808642914934826,0.6510061505215682,1.07,0.06708203932499368,0.5654381333924667,0.05937426436275939,0.0,0.0
high,medium_load,XGBoost,6.551019559209758,0.8126485477060079,1.072,0.04535967372016695,0.5622597641634254,0.041037944608793696,0.0,0.0
high,high_load,Always Edge,1030.7721731811398,1016.8185819018723,1.0,0.0,0.8269105012683186,0.18716542377853831,0.508,0.4710307845565935
high,high_load,Always Cloud,59.46216732936556,5.639422793008332,5.0,0.0,0.23912037719600016,0.033239641551442746,0.12,0.02449489742783178
high,high_load,Greedy,6.611979744491995,0.8833546311142239,1.084,0.06795218907437789,0.5658349070882491,0.05825404559144631,0.0,0.0
high,high_load,XGBoost,6.63674408802535,0.8893129951197356,1.077,0.04563441683641857,0.5696795094936478,0.04258223934908521,0.0,0.0
high,very_high_load,Always Edge,2415.0313124453146,360.6257153400457,1.0,0.0,0.9776930215251383,0.024509323298696827,0.912,0.0661059755241536
high,very_high_load,Always Cloud,59.73755136798987,5.411455271228329,5.0,0.0,0.5305135045142146,0.06169162892791464,0.12,0.02449489742783178
high,very_high_load,Greedy,8.401730497990503,1.4209324479614671,1.177,0.029283100928692664,0.6217673428561017,0.04521934432258966,0.0,0.0
high,very_high_load,XGBoost,10.041692144857226,3.685239611081064,1.255,0.15660459763365828,0.6082578071871935,0.03167337449878899,0.004,0.00894427190999916
